Age,Accessibility,EdLevel,Employment,Gender,MentalHealth,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,HaveWorkedWith,ComputerSkills,Employed
<35,No,Other,0,Man,Yes,Dev,18,8,Germany,24648,C#;HTML/CSS;JavaScript;PHP;Docker;Git;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;AWS;Microsoft Azure;MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,18,1
<35,No,Undergraduate,1,Man,No,Dev,4,1,Pakistan,7788,Python;Docker;Git;Django;AWS,5,0
>35,Yes,Master,1,Man,No,Dev,38,26,Switzerland,134176,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Git;Angular;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server,14,1
<35,No,Undergraduate,1,Man,No,Dev,10,3,United Kingdom of Great Britain and Northern Ireland,64630,Go;JavaScript;Node.js;PHP;TypeScript;Git;React.js;Microsoft SQL Server,8,1
<35,No,Undergraduate,1,Man,No,Dev,10,8,Spain,38915,HTML/CSS;Java;JavaScript;Node.js;Python;SQL;Docker;Git;jQuery;Spring;Microsoft SQL Server;MongoDB;PostgreSQL,13,1
<35,No,Undergraduate,1,Man,No,Dev,8,3,Nigeria,4944,HTML/CSS;JavaScript;Python;Docker;Angular.js;Django;React.js;DigitalOcean;MySQL;PostgreSQL;Redis,11,0
<35,No,Other,0,Man,No,Dev,6,1,Germany,29508,Bash/Shell;C#;Dart;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;Ansible;Docker;Git;Kubernetes;Terraform;Xamarin;ASP.NET;ASP.NET Core ;Express;Flask;React.js;AWS;Microsoft Azure;Couchbase;DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,33,1
<35,No,Master,1,Man,No,Dev,13,2,Italy,14268,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;VBA;Git;jQuery;React.js;Vue.js;AWS;MySQL;Oracle;PostgreSQL,17,1
<35,No,Undergraduate,1,Man,No,Dev,10,2,Netherlands,43239,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript;Docker;Git;Angular;React.js;Spring;MariaDB;MySQL;PostgreSQL,17,1
<35,No,NoHigherEd,1,Man,No,Dev,3,0,Albania,48,HTML/CSS;JavaScript;Node.js;Git;Express;React.js;Heroku;MongoDB,8,0
<35,No,Undergraduate,1,Man,No,Dev,12,6,United States of America,140000,C#;HTML/CSS;JavaScript;SQL;VBA;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;DynamoDB;Elasticsearch;Microsoft SQL Server;SQLite,14,1
<35,No,Other,1,Man,No,Dev,6,4,Bangladesh,14124,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python;Git;Kubernetes;Xamarin;Yarn;jQuery;Laravel;React.js;Symfony;Vue.js;AWS;DigitalOcean;Heroku;Firebase;MongoDB;MySQL;Redis;SQLite,26,1
>35,No,Other,1,Man,Yes,NotDev,6,5,Israel,101916,Bash/Shell;Python;Docker;Git;Puppet;AWS;MySQL,7,0
<35,No,Master,0,Man,No,Dev,17,8,Viet Nam,21000,Kotlin;Objective-C;SQL;Swift;Git;AWS;Google Cloud Platform,7,0
<35,No,Undergraduate,1,Man,No,Dev,7,1,United States of America,54000,Bash/Shell;C#;HTML/CSS;JavaScript;TypeScript;Git;ASP.NET;Vue.js;AWS;Microsoft SQL Server,10,1
>35,No,Master,0,Man,Yes,Dev,27,16,United States of America,200000,C#;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;SQL;Git;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Vue.js;Microsoft Azure;Elasticsearch;Microsoft SQL Server;MySQL;SQLite,19,1
<35,No,Undergraduate,1,Man,No,Dev,17,5,Netherlands,36324,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;Docker;Git;Kubernetes;Puppet;Unity 3D;Angular;jQuery;Laravel;React.js;Symfony;AWS;DigitalOcean;Elasticsearch;MySQL;SQLite,23,1
<35,No,Undergraduate,1,Man,Yes,Dev,1,3,United Kingdom of Great Britain and Northern Ireland,38778,C#;Java;JavaScript;Python;SQL;Ansible;Chef;Docker;Terraform;Unity 3D;ASP.NET;ASP.NET Core ;Django;AWS;Microsoft Azure;Elasticsearch;MongoDB;MySQL;PostgreSQL;SQLite,20,1
<35,No,Other,0,Man,No,Dev,5,3,Poland,48600,Go;JavaScript;Python;SQL;TypeScript;VBA;Ansible;Docker;Git;Yarn;Django;FastAPI;Flask;Gatsby;jQuery;React.js;AWS;Google Cloud Platform;Microsoft Azure;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,28,1
>35,No,Master,0,Man,No,Dev,30,25,Netherlands,59454,C#;Delphi;JavaScript;Node.js;TypeScript;Git;Angular;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server,10,1
<35,No,Undergraduate,1,Woman,No,Dev,4,2,Romania,14652,JavaScript;Swift;TypeScript;Git;React.js;Google Cloud Platform;Firebase;PostgreSQL,8,0
>35,No,Undergraduate,1,Man,No,Dev,38,34,United States of America,200000,C#;F#;SQL;Git;Microsoft SQL Server,5,0
<35,No,Master,1,Man,No,Dev,27,11,Germany,97288,Bash/Shell;C;Dart;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;TypeScript;Docker;Git;Kubernetes;Yarn;React.js;AWS;DynamoDB;Elasticsearch;MongoDB;MySQL;Redis;SQLite,22,1
<35,No,Other,1,Woman,No,Dev,15,5,Russian Federation,75492,C++;Java;Kotlin;Objective-C;Swift;SQLite,6,0
<35,No,Master,0,Man,No,NotDev,2,2,Sri Lanka,36000,SQL;Git;jQuery;Google Cloud Platform;SQLite,5,0
<35,No,Master,1,Man,No,Dev,7,5,France,49725,JavaScript;Node.js;PHP;TypeScript;Docker;Git;Angular;Express;Laravel;MariaDB;MongoDB;MySQL,12,1
>35,No,Undergraduate,1,Man,No,Dev,31,25,United Kingdom of Great Britain and Northern Ireland,70047,C#;HTML/CSS;PowerShell;SQL;Git;Xamarin;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server,11,1
<35,No,Undergraduate,1,Man,Yes,NotDev,15,4,United States of America,98500,Bash/Shell;C;C++;Go;HTML/CSS;Java;JavaScript;Matlab;Node.js;Python;Scala;SQL;TypeScript;Unity 3D;Unreal Engine;Django;FastAPI;Flask;jQuery;React.js;MongoDB;MySQL;SQLite,23,1
<35,Yes,Undergraduate,0,Man,No,Dev,20,7,India,2340,HTML/CSS;JavaScript;Node.js;PHP;PowerShell;Python;SQL;Git;Angular;Express;Gatsby;jQuery;React.js;Heroku;Firebase;MariaDB;MongoDB;MySQL;Redis,19,1
>35,No,Undergraduate,1,Man,No,Dev,41,24,United States of America,115000,C++;HTML/CSS;JavaScript;Node.js;Perl;PHP;SQL;Git;ASP.NET;Microsoft Azure;SQLite,11,0
<35,No,Master,1,Man,No,NotDev,9,6,Switzerland,43908,JavaScript;Python;SQL;Docker;Git;Django;jQuery;Google Cloud Platform;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,13,1
<35,No,Undergraduate,1,Man,No,Dev,8,7,Lithuania,103408,C++;Go;JavaScript;Node.js;Python;TypeScript;Docker;Git;Kubernetes;React.js;AWS;DynamoDB;Elasticsearch;MongoDB;Redis,15,1
<35,No,Master,1,Man,No,Dev,13,8,Ukraine,42000,C#;HTML/CSS;JavaScript;PowerShell;TypeScript;Git;Yarn;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;AWS;Google Cloud Platform;Microsoft Azure;Microsoft SQL Server;MongoDB;Redis,18,1
<35,No,Undergraduate,1,Man,No,NotDev,7,4,Israel,105072,Assembly;Python,2,0
>35,No,PhD,1,Man,No,Dev,42,22,United Kingdom of Great Britain and Northern Ireland,71093,Matlab,1,0
>35,No,Undergraduate,1,Man,No,Dev,8,4,Croatia,17412,JavaScript;PHP;SQL;React.js;Symfony;MySQL,6,0
<35,No,Other,0,Man,Yes,Dev,4,2,Georgia,14844,HTML/CSS;JavaScript;Python;SQL;Git;Flask;DigitalOcean;Heroku;SQLite,9,0
>35,No,Master,1,Man,No,NotDev,3,3,Canada,98321,Python;R;Git;AWS;Microsoft SQL Server,5,0
>35,No,Other,1,Man,No,Dev,16,14,Italy,54049,C;C#;C++;Java;Kotlin;PHP;SQL;Docker;Git;Kubernetes;Spring;Microsoft Azure;IBM DB2;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,17,1
>35,No,Master,0,Man,No,Dev,26,24,Denmark,115784,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript;Docker;Git;Angular;Spring;Google Cloud Platform;Oracle;PostgreSQL,15,1
<35,No,Undergraduate,1,Man,No,Dev,10,6,Russian Federation,56616,Go;JavaScript;Python;SQL;Docker;Git;DigitalOcean;Cassandra;Elasticsearch;PostgreSQL;Redis,11,0
<35,No,Undergraduate,1,Man,No,Dev,14,11,Ireland,69183,Groovy;Java;Kotlin;Git;AWS;Google Cloud Platform;SQLite,7,0
>35,No,Undergraduate,1,Man,No,Dev,24,18,Greece,25944,Java;JavaScript;SQL;Git;jQuery;Spring;IBM Cloud or Watson;Microsoft Azure;IBM DB2;MariaDB;Microsoft SQL Server;MySQL,12,1
>35,No,Other,1,Man,No,Dev,35,25,United Kingdom of Great Britain and Northern Ireland,60752,C;C++;HTML/CSS;JavaScript,4,0
>35,No,Undergraduate,1,Man,No,Dev,6,3,Poland,16704,C;C++;Delphi;Go;HTML/CSS;Perl;Python;R;Ruby;Rust;Docker;Git;Terraform;Django;Flask;AWS;DynamoDB;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,22,0
>35,No,Undergraduate,1,Man,No,Dev,23,15,Romania,81420,C#;HTML/CSS;JavaScript;PHP;SQL;Docker;Git;Yarn;jQuery;React.js;Symfony;Vue.js;AWS;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis,18,0
<35,No,Undergraduate,1,Man,No,Dev,7,3,Lebanon,14280,Java;TypeScript;Git;Angular;Spring,5,0
>35,No,Master,1,Man,No,Dev,20,13,United Kingdom of Great Britain and Northern Ireland,84019,HTML/CSS;Java;JavaScript;Node.js;TypeScript;Yarn;Angular;Express;React.js;Vue.js;AWS;DigitalOcean;MongoDB;MySQL;PostgreSQL,15,1
>35,No,Undergraduate,1,Man,No,Dev,20,18,Bahrain,63648,C;C#;C++;HTML/CSS;JavaScript;SQL;TypeScript;Docker;Git;ASP.NET;ASP.NET Core ;jQuery;Vue.js;IBM DB2;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,20,1
<35,No,Undergraduate,1,Man,No,Dev,5,1,Egypt,4620,Assembly;C#;C++;HTML/CSS;JavaScript;Python;R;TypeScript;Git;Angular;Angular.js;jQuery;React.js;DigitalOcean;Microsoft SQL Server;PostgreSQL;SQLite,17,1
<35,No,Master,1,Man,No,Dev,10,9,United States of America,70000,C;C++;JavaScript;Objective-C;Python;Swift;TypeScript;Docker;Git;Flask;React.js;AWS;DynamoDB;PostgreSQL;Redis,15,0
<35,No,Other,1,Man,No,Dev,12,7,Ireland,91883,Bash/Shell;Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript;Chef;Docker;Git;Terraform;Angular;React.js;Ruby on Rails;AWS;DigitalOcean;Google Cloud Platform;MySQL;PostgreSQL;Redis,20,0
<35,No,Master,1,Man,No,Dev,3,2,Russian Federation,30192,JavaScript;Python;Docker;Git;Flask;MariaDB;PostgreSQL,7,0
<35,No,Undergraduate,1,Man,Yes,Dev,10,5,United States of America,90000,C#;HTML/CSS;SQL;TypeScript;Git;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;MySQL,12,1
>35,No,Undergraduate,1,Man,No,Dev,20,20,Colombia,21600,C#;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript;VBA;Docker;Git;Angular;ASP.NET;ASP.NET Core ;jQuery;React.js;Microsoft Azure;MariaDB;Microsoft SQL Server;MySQL,20,1
<35,No,Undergraduate,1,Man,No,Dev,15,6,Netherlands,50592,C#;Docker;Unity 3D;Xamarin;ASP.NET;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server;SQLite,9,1
<35,No,Undergraduate,1,Man,No,Dev,10,1,India,1512,C;C#;C++;HTML/CSS;JavaScript;Node.js;PHP;Python;R;SQL;TypeScript;Docker;Git;Yarn;Angular;Angular.js;Django;jQuery;Laravel;React.js;Symfony;AWS;DigitalOcean;Google Cloud Platform;Heroku;IBM Cloud or Watson;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite,32,1
<35,No,Master,1,Woman,No,NotDev,9,2,United States of America,193000,Ansible;Docker;Git;AWS;Microsoft SQL Server,5,0
<35,No,Undergraduate,1,Man,Yes,Dev,9,4,Greece,28536,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;Docker;Git;Kubernetes;Yarn;Express;React.js;Couchbase;Elasticsearch;MariaDB,14,0
>35,No,Master,1,Man,No,NotDev,4,2,Australia,96874,C#;HTML/CSS;Matlab;Python;R;SQL;Git;Django;Flask;AWS;Microsoft Azure;MySQL;PostgreSQL;SQLite,14,0
>35,No,Undergraduate,1,Man,No,Dev,24,14,United Kingdom of Great Britain and Northern Ireland,77556,Bash/Shell;Java;JavaScript;Node.js;Python;TypeScript;Docker;Git;Kubernetes;Terraform;AWS;DynamoDB;MySQL;PostgreSQL;Redis,15,1
>35,No,Undergraduate,0,Man,No,Dev,21,14,United Kingdom of Great Britain and Northern Ireland,103408,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;PHP;SQL;Swift;TypeScript;Docker;Git;Yarn;Express;React.js;AWS;MySQL;SQLite,19,1
>35,No,Undergraduate,1,Man,No,Dev,28,22,Switzerland,121979,Bash/Shell;C;C++;Docker;Git;DigitalOcean;Google Cloud Platform,7,0
<35,No,PhD,1,Man,Yes,Dev,15,9,Russian Federation,75492,C#;Java;Python;Docker;Git;Kubernetes;Xamarin;ASP.NET;ASP.NET Core ;FastAPI;Flask;React.js;Google Cloud Platform;PostgreSQL,14,0
<35,No,Undergraduate,0,Man,No,Dev,10,8,Germany,84316,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;Ruby;TypeScript;Ansible;Docker;Git;Kubernetes;Yarn;Express;FastAPI;Flask;Ruby on Rails;AWS;DigitalOcean;Microsoft Azure;Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis,29,1
>35,No,Undergraduate,1,Man,No,Dev,31,26,Russian Federation,43404,Haskell;HTML/CSS;JavaScript;Node.js;TypeScript;Chef;Docker;Git;Yarn;Express;Gatsby;React.js;AWS;Google Cloud Platform;PostgreSQL;Redis,16,0
<35,No,Undergraduate,1,Man,No,Dev,6,2,Chile,22584,C#;Dart;HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Git;ASP.NET;ASP.NET Core ;jQuery;Vue.js;IBM DB2;Microsoft SQL Server,14,1
<35,No,Undergraduate,1,Man,No,Dev,14,7,United Kingdom of Great Britain and Northern Ireland,103408,Java;Kotlin;Git;SQLite,4,0
<35,No,Master,1,Man,No,Dev,15,5,France,44320,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;SQL;TypeScript;Docker;Git;Kubernetes;Angular;Spring;Vue.js;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,20,1
>35,No,Undergraduate,1,Man,Yes,Dev,30,22,United States of America,165000,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Ruby;SQL;TypeScript;Docker;Git;Terraform;Angular.js;jQuery;React.js;Ruby on Rails;Spring;Vue.js;AWS;DigitalOcean;DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,29,1
<35,No,Undergraduate,1,Man,Yes,Dev,13,3,Indonesia,5268,Dart;HTML/CSS;JavaScript;Node.js;PHP;Docker;Git;Vue.js;Google Cloud Platform;MariaDB;Microsoft SQL Server;MySQL;SQLite,13,1
<35,No,Other,1,Man,Yes,Dev,10,5,Germany,51888,HTML/CSS;JavaScript;Node.js;Rust;TypeScript;Docker;Git;Unity 3D;Express;React.js;AWS;DigitalOcean;MySQL;PostgreSQL,14,0
<35,No,Undergraduate,1,Man,Yes,Dev,12,7,"Iran, Islamic Republic of...",85500,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript;Ansible;Docker;Git;Kubernetes;Terraform;Vue.js;AWS;Elasticsearch;PostgreSQL;Redis,16,0
<35,No,Undergraduate,0,Man,No,Dev,7,7,Bangladesh,48000,C#;C++;Docker;Angular;ASP.NET;ASP.NET Core ;Google Cloud Platform;Microsoft Azure;Microsoft SQL Server;MongoDB;PostgreSQL;Redis,12,1
<35,No,Master,1,Man,No,Dev,12,9,France,64859,Bash/Shell;Objective-C;Swift;Git;Microsoft Azure;SQLite,6,0
<35,No,Undergraduate,1,Man,No,Dev,6,3,Germany,42158,C;C#;C++;HTML/CSS;Node.js;SQL;Git;Kubernetes;Xamarin;Microsoft Azure;Oracle,11,0
<35,No,Undergraduate,1,NonBinary,Yes,Dev,18,7,Germany,32424,C#;Git,2,0
<35,No,Undergraduate,1,Man,No,NotDev,2,2,United States of America,60000,Bash/Shell;HTML/CSS;JavaScript;Python;SQL;Git;Django;React.js;AWS;IBM DB2;Microsoft SQL Server;SQLite,12,1
<35,No,Master,0,Man,No,Dev,5,5,Netherlands,51888,Python;SQL;Git;Flask;AWS;PostgreSQL;SQLite,7,0
>35,No,PhD,1,Man,No,NotDev,16,12,France,35028,R,1,0
<35,No,Other,1,Man,No,NotDev,9,3,Portugal,9084,C#;HTML/CSS;Java;SQL;VBA;ASP.NET;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server;MySQL,10,1
>35,No,PhD,1,Man,No,Dev,13,8,Germany,74588,HTML/CSS;Java;PHP,3,0
<35,No,Undergraduate,1,Man,No,Dev,6,4,Slovakia,33732,HTML/CSS;JavaScript;Node.js;TypeScript;Docker;Git;React.js;Vue.js;AWS;Google Cloud Platform;Microsoft Azure,11,0
<35,No,Master,1,Man,No,Dev,13,8,Bulgaria,27852,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript;Git;jQuery;Vue.js;Microsoft SQL Server;Redis,12,1
<35,No,Undergraduate,1,Man,No,Dev,12,3,United Kingdom of Great Britain and Northern Ireland,50153,Bash/Shell;C;Java;Kotlin;Perl;PowerShell;Python;Docker;Git;Kubernetes;IBM Cloud or Watson,11,0
<35,No,Master,1,Man,No,Dev,15,11,India,30716,HTML/CSS;JavaScript;Node.js;Objective-C;Swift;TypeScript;Git;Gatsby;React.js;Google Cloud Platform;Microsoft Azure;Firebase;SQLite,13,1
<35,No,Master,1,Man,No,Dev,10,7,France,77831,Bash/Shell;C;C++;Java;JavaScript;Node.js;PHP;Python;Ruby;SQL;TypeScript;Ansible;Docker;Git;Yarn;Angular;Angular.js;Drupal;Express;jQuery;Laravel;Symfony;MariaDB;MySQL;SQLite,25,1
<35,No,Undergraduate,1,Woman,No,Dev,7,3,Denmark,81624,C#;HTML/CSS;SQL;TypeScript;Docker;Git;Kubernetes;Terraform;Yarn;ASP.NET Core ;React.js;Microsoft Azure;Microsoft SQL Server,13,1
<35,No,Master,1,Man,No,NotDev,6,2,Germany,54049,Bash/Shell;Python;Git;Flask;Vue.js,5,0
<35,Yes,Undergraduate,1,Man,Yes,Dev,10,2,Armenia,10450,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript;Docker;Git;Unreal Engine;Express;Laravel;Vue.js;Heroku;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,18,1
<35,No,Master,1,Man,No,Dev,7,7,France,41077,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript;Docker;Angular;Express;React.js;Symfony;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,15,1
